h_geoid,wm_overall,wm_1_2,wm_3,obs_overall,obs_1_2,obs_3
24021751802,37.37,36.181,37.931,325.583,104.35,221.233
24021751901,36.738,36.882,36.678,373.233,110.283,262.95
24021751902,36.886,36.19,37.188,463.417,140.45,322.967
24021751903,35.085,35.829,34.744,484.117,152.2,331.917
24021751904,35.074,35.419,34.951,329.433,86.367,243.067
24021752001,36.02,36.136,35.974,395.233,112.85,282.383
24021752101,31.745,32.315,31.468,306.317,100.117,206.2
24021752102,33.304,32.959,33.483,387.6,132.45,255.15
24021752201,28.802,28.517,28.94,266.167,86.367,179.8
24021752202,32.767,32.901,32.698,338.983,114.417,224.567
24021752204,32.774,31.493,33.275,453.8,127.683,326.117
24021752301,34.162,33.688,34.401,395.467,132.8,262.667
24021752302,30.475,30.441,30.49,408.267,122.917,285.35
24021752303,29.103,30.15,28.66,355.483,105.683,249.8
24021752501,36.453,34.947,37.03,510.45,141.25,369.2
24021752502,31.067,30.694,31.238,333.517,105,228.517
24021752601,38.534,34.905,39.891,398.817,108.533,290.283
24021752602,35.878,34.41,36.542,317.017,98.667,218.35
24021752603,38.389,38.956,38.135,366.933,113.767,253.167
24021752801,46.46,44.496,47.353,276.833,86.533,190.3
24021752802,45.915,44.192,46.666,345.5,104.867,240.633
24021752900,52.719,50.271,53.974,283.717,96.15,187.567
24021753001,49.98,49.133,50.343,384.167,115.05,269.117
24021753002,50.302,48.213,51.253,271.8,85,186.8
24021765100,37.322,36.55,37.744,365.133,129.083,236.05
24021766800,55.894,54.085,56.757,409.85,132.4,277.45
24021767500,51.064,48.465,52.339,310.533,102.183,208.35
24021767600,44.957,42.598,46.076,291.967,93.967,198
24021770700,41.224,38.583,42.336,354.55,105.033,249.517
24021772200,35.167,34.276,35.653,241.65,85.283,156.367
24021773500,40.324,39.098,40.837,378.267,111.55,266.717
24021775302,32.086,28.169,34.113,508.317,173.333,334.983
24021775400,28.89,24.561,31.591,534.583,205.367,329.217
24021775600,37.935,37.903,37.949,343.35,103.117,240.233
24031700101,25.502,27.089,24.742,741.083,240.133,500.95
24031700103,25.627,26.958,25.052,887.433,267.9,619.533
24031700104,23.973,24.808,23.509,704.917,252.05,452.867
24031700105,23.192,24.865,22.354,794.717,265.25,529.467
24031700204,30.842,31.648,29.997,442.767,226.45,216.317
24031700205,26.294,27.499,25.779,952.517,285.267,667.25
24031700206,28.151,30.294,27.137,784.633,252.05,532.583
24031700207,28.787,29.79,28.155,720.95,278.817,442.133
24031700208,29.756,30.611,28.982,458.967,218.067,240.9
24031700304,24.79,25.506,24.421,868.183,295.15,573.033
24031700306,23.211,24.23,22.708,851.55,281.917,569.633
24031700308,24.454,25.026,24.204,697.933,212.317,485.617
24031700309,23.649,23.975,23.479,654.067,224.7,429.367
24031700310,23.714,23.597,23.771,661.283,216.217,445.067
24031700311,26.261,27.108,25.925,1024.95,290.783,734.167
24031700312,27.546,28.271,27.193,799.55,262.033,537.517
24031700400,25.845,26.233,25.518,503.25,230.1,273.15
24031700500,23.207,22.929,23.334,969.517,305.433,664.083
24031700604,18.653,18.751,18.613,1104.6,324.883,779.717
24031700606,16.9,17.541,16.635,701.067,205.35,495.717
24031700607,16.559,16.942,16.419,1094.467,294.033,800.433
24031700608,15.842,16.897,15.458,1023.517,273.067,750.45
24031700610,19.385,19.906,19.113,436.183,149.733,286.45
24031700611,22.179,22.374,22.096,868.467,261.4,607.067
24031700613,20.794,21.397,20.528,1010.833,309.433,701.4
24031700614,21.137,21.325,21.015,946.983,372.25,574.733
24031700615,17.211,17.985,16.898,589.417,169.9,419.517
24031700616,17.76,18.188,17.589,733.217,209.167,524.05
24031700704,18.931,19.17,18.772,495.333,197.7,297.633
24031700706,19.899,19.536,20.084,582.983,197.35,385.633
24031700710,19.541,19.454,19.584,838.8,280.5,558.3
24031700711,19.357,19.254,19.409,823.267,276.383,546.883
24031700713,21.124,20.919,21.25,604.467,229.533,374.933
24031700715,22.239,22.935,21.84,697.633,254.383,443.25
24031700716,21.364,22.181,20.955,889.083,296.7,592.383
24031700717,19.073,18.889,19.183,799.267,300.55,498.717
24031700718,17.946,18.255,17.814,674.833,200.933,473.9
24031700719,20.121,20.427,19.918,864.8,345.833,518.967
24031700720,20.205,20.6,19.972,569.95,210.967,358.983
24031700721,20.873,20.553,21.034,403,134.367,268.633
24031700722,21.339,21.896,21.064,554.15,183.45,370.7
24031700723,20.505,20.212,20.676,536.55,198.167,338.383
24031700724,19.616,19.168,19.937,495.9,206.983,288.917
24031700810,23.005,23.113,22.952,655.383,215.467,439.917
24031700811,22.282,22.628,22.084,593.8,216.617,377.183
24031700812,21.796,22.215,21.556,539.783,196.6,343.183
24031700813,21.719,21.755,21.701,675.817,228.9,446.917
24031700815,21.585,21.981,21.378,808.85,276.983,531.867
24031700816,18.615,19.451,18.207,994.65,326.35,668.3
24031700817,18.331,18.852,18.105,793.967,240.283,553.683
24031700818,22.188,21.836,22.384,730.933,262.05,468.883
24031700819,21.892,22.224,21.729,759.8,251.217,508.583
24031700820,20.516,20.349,20.616,479.233,180.017,299.217
24031700822,19.326,19.001,19.538,356.667,141.083,215.583
24031700823,19.219,19.582,19.058,578.317,177.917,400.4
24031700824,18.943,19.538,18.709,551.35,155.75,395.6
24031700826,18.704,19.623,18.396,819.117,206.083,613.033
24031700828,17.573,17.255,17.706,483.05,143.033,340.017
24031700829,18.175,18.253,18.142,541.05,161.383,379.667
24031700830,22.531,22.488,22.557,365.75,136.417,229.333
24031700832,21.501,21.327,21.611,435.7,168.867,266.833
24031700833,22.251,21.892,22.432,536.9,180.233,356.667
24031700834,23.088,22.971,23.154,611.7,222.35,389.35
24031700835,23.847,24.41,23.583,624.15,199.733,424.417
24031700901,16.31,17.567,15.71,650.983,210.133,440.85
24031700902,16.317,15.955,16.532,585.55,218.817,366.733
24031700903,16.622,16.496,16.71,391.783,160.467,231.317
24031700904,14.79,15.319,14.498,460.15,163.433,296.717
24031700905,14.972,15.721,14.621,630.6,200.933,429.667
24031701001,15.176,15.854,14.875,849.5,260.967,588.533
24031701002,14.75,15.23,14.549,671.617,198.9,472.717
24031701004,16.608,17.026,16.45,774.733,211.883,562.85
24031701005,15.498,16.139,15.242,611.65,174.25,437.4
24031701006,15.707,16.939,15.263,832.017,220.6,611.417
24031701007,16.743,17.295,16.471,509.567,168.367,341.2
24031701101,15.82,16.184,15.615,695.217,250.617,444.6
24031701102,15.004,14.983,15.014,880.117,299.783,580.333
24031701201,13.317,13.483,13.201,1115.75,459.733,656.017
24031701202,12.565,13.31,12.235,739.733,227.533,512.2
24031701205,12.766,13.558,12.457,1272.633,357.667,914.967
24031701206,13.907,14.232,13.791,1160.133,306.15,853.983
24031701210,14.77,14.837,14.744,713.467,202.933,510.533
24031701211,17.12,17.886,16.822,867.967,242.9,625.067
24031701212,18.481,19.294,18.014,672.167,245.4,426.767
24031701213,12.248,13.228,11.913,1394.833,355.017,1039.817
24031701214,11.797,12.85,11.382,1061.017,299.567,761.45
24031701215,11.815,12.461,11.569,1214,335.383,878.617
